INDEX;UUID;LINE;NAME;LATITUDE;LONGITUDE
1630;7a1abb55-0e84-4bfc-b250-5825eb671c8c;M7;Riquet;48,88826762;2,374204012
1640;eed6aec9-53ed-42e5-bb4c-b695b4571f82;M7;Stalingrad;48,88438515;2,369391984
1650;5e36d407-7375-4399-8286-2438214f9725;M7;Louis Blanc;48,88128581;2,365544319
1660;972d75b1-8a40-4ef5-ba37-a4e83162d02a;M7;Château-Landon;48,87856563;2,362160072
1670;c5202f62-6a57-44bb-b057-422e3454ee38;M7;Gare de l'Est;48,8762727;2,358057904
1680;d8850a9e-5419-4051-8b8a-c515a3b9c3a2;M7;Poissonnière;48,87723632;2,349293902
1690;1fda4799-6798-4c5c-9594-04c34b8024da;M7;Cadet;48,87589068;2,34412603
1700;328c2fa9-8a9f-4b0b-a4d4-9cfc2b3787f2;M7;Le Peletier;48,87487434;2,340199884
1710;817870c1-d954-41de-926c-72dd4c8e4eeb;M7;Chaussée d'Antin - La Fayette;48,87310927;2,333451219
1720;4e145214-f40c-4cf3-b4aa-76e0c987ff49;M7;Opéra;48,8704867;2,332407406
1730;d9826fce-40f6-4c37-98a9-f09e3de33bd2;M7;Pyramides;48,86598092;2,334330724
1740;0f5796bf-b157-4c46-9427-f9071fc75312;M7;Palais Royal - Musée du Louvre;48,86282967;2,336878398
1750;27e3286a-d4bb-418f-a973-c2f843201e4a;M7;Pont Neuf;48,85855383;2,342232759
1760;9046fec1-7211-4c22-bdc3-f28e5aff4f2a;M7;Châtelet;48,85705997;2,34771188
1770;96ccc5b7-dfca-4b67-8912-e9f144e4f0b8;M7;Pont Marie;48,85357547;2,357162572
1780;cc60fc70-a0e1-44ca-b0d2-7c5aaf2bb761;M7;Sully - Morland;48,85123768;2,361985141
1790;7069efeb-bc47-4edf-bda1-82d5f4787e58;M7;Jussieu;48,84595067;2,355050263
1800;79b04856-e340-4c50-8358-fb946ec65095;M7;Place Monge;48,84286683;2,352224728
1810;6d6b6937-0ecd-4e41-916d-3b756bd7a041;M7;Censier Daubenton;48,84048665;2,351739487
1820;8340f9f1-977c-4eb8-bd20-24ad28847bc7;M7;Les Gobelins;48,83586348;2,352588926
1830;9cc8c832-0b9a-4960-8b00-bf69bd1424ab;M7;Place d'Italie;48,83143363;2,355643643
1840;89955209-9e05-4936-b935-ce002b119ffd;M7;Tolbiac;48,82642601;2,357245651
1850;0b14e413-a0b1-45fb-8170-a7d50d4b6461;M7;Maison Blanche;48,82243783;2,358473884
1860;07372633-832e-4c75-902b-975bae2c2dd2;M7;Porte d'Italie;48,81922335;2,359705217
1870;31d6de51-e073-48f9-a9c5-59ad322019ff;M7;Porte de Choisy;48,81987622;2,364531952
1880;b010b770-f802-4990-98c1-884401bee0e8;M7;Porte d'Ivry;48,82135578;2,369290587
1890;6ace4581-1c73-425d-81ce-b2dceae26a91;M7;Pierre et Marie Curie;48,81593076;2,3772672
1900;6b79ba58-9fc2-462c-9bec-dd6a77fbd72a;M7;Mairie d'Ivry;48,8110992;2,38355148
1910;a7378aa1-6fea-4a6d-bfb6-75e379e66bf2;M7;Le Kremlin - Bicêtre;48,81012996;2,362263387
1920;5749252d-700f-4976-bf15-754b7909451c;M7;Villejuif - Léo Lagrange;48,80468812;2,363953197
1930;1532119f-7f5e-423c-a2f7-db0e6b4e8e4c;M7;Villejuif - Paul Vaillant-Couturier;48,79648308;2,368269541
1940;c70516f4-ea24-4cd6-8270-293358f1350b;M7;Villejuif - Louis Aragon;48,78756279;2,367804107
1950;e7bab5a6-d571-4233-8abb-568b0a0df76b;M7BIS;Louis Blanc;48,88140473;2,365218782
1960;132489eb-4061-402f-9ba5-50755201633c;M7BIS;Jaurès;48,88246525;2,370157962
1970;f2854df6-abe0-49f1-bccf-43596611bae5;M7BIS;Bolivar;48,88082126;2,374147154
1980;bd60d06b-6e24-4bc6-a61d-7cb42140cfb9;M7BIS;Buttes Chaumont;48,87851411;2,381614512
1990;4bbb64d2-55cb-4576-b70c-3777b789dd03;M7BIS;Botzaris;48,87948177;2,389115807
2000;5cbb007d-8b80-4788-999d-d285d54ba325;M7BIS;Danube;48,881932;2,393445456
2010;b0159fb7-cc52-43e7-92e9-c4b3d21f2b92;M7BIS;Place des Fêtes;48,87694985;2,392983965
2020;98f2d262-eeea-4515-808a-db431fa208bc;M7BIS;Pré Saint-Gervais;48,87999579;2,398946662
2030;0a5ea39e-e669-4770-be27-651690edd9d9;M8;Balard;48,83593088;2,278161671
2040;f5335d21-d7ad-4ab9-bc63-86d5cbb0e474;M8;Lourmet;48,83896094;2,282700027
2050;98eb1899-bebf-4241-800b-2d3574733c8a;M8;Bousicaut;48,84109406;2,287945767
2060;7b4d56f3-471d-40c9-bed7-52f6eba01b6c;M8;Félix Faure;48,84274678;2,291912413
2070;ce409036-a084-4365-8f0a-b0cb0520d077;M8;Commerce;48,84479476;2,293951964
2080;418bdc65-4b7d-443f-a024-1200bc1b5557;M8;La Motte-Piquet - Grenelle;48,84935055;2,298301402
2090;605879b3-3e75-486a-8d99-7e6a6614809b;M8;Ecole Militaire;48,85468216;2,306097404
2100;d2b3b690-3816-4b8c-aa62-24917648d62d;M8;La Tour-Maubourg;48,85772541;2,310565961
2110;d522db49-61de-402c-a168-0f16bfcf8e8f;M8;Invalides;48,86232533;2,315138432
2120;39cd89b6-2ed3-4ef5-ac7c-e5903f131c96;M8;Concorde;48,86681837;2,322082849
2130;ea285362-8547-46d3-9477-931b470d0f79;M8;Madeleine;48,86963317;2,326272274
2140;6f37ba26-77e1-4105-8840-a3ca42c98c1e;M8;Opéra;48,87064173;2,3321386
2150;9935d16b-398e-4b71-81eb-c2fadd07a4ab;M8;Richelieu - Drouot;48,8717866;2,339030547
2160;d87b4a39-5067-4466-8765-23a177d692e5;M8;Grands Boulevards;48,87149774;2,343154773
2170;bea4f9bd-c26b-47cf-b37d-b373220a32a4;M8;Bonne Nouvelle;48,8701642;2,350497972
2180;6014b488-6855-4d24-9291-e4a40fe4cde0;M8;Strasbourg - Saint-Denis;48,86922417;2,354603791
2190;b15b689a-f391-4a2c-8727-0073778518ed;M8;République;48,86715873;2,363957837
2200;7006e1f8-4bc7-4f7c-9b72-1be9c3ebc47e;M8;Filles du Calvaire;48,86325795;2,366661095
2210;c3c94791-c81d-4bd0-aed8-dd858c1947ca;M8;Saint-Sébastien - Froissart;48,86116887;2,367210866
2220;0501d5fd-3876-4734-811c-81cfecf5be13;M8;Chemin Vert;48,85742004;2,368108291
2230;453339c2-ccb9-482b-92aa-03e6b29e613d;M8;Bastille;48,85343943;2,36951357
2240;72d5c10b-eef1-4d6b-8764-568a4dfe57fe;M8;Ledru-Rollin;48,85127113;2,376118773
2250;169febff-1b63-44eb-978f-400f67d02125;M8;Faidherbe - Chaligny;48,85017786;2,38409221
2260;7645c3cc-86f7-4312-ba31-a2ebe9038ee3;M8;Reuilly - Diderot;48,84712872;2,387025242
2270;92f7d062-8188-48c2-a14b-e3472522efc1;M8;Montgallet;48,84440867;2,390075113
2280;e35c326a-0b77-4b12-9da6-79789ce2a5c4;M8;Dausmenil;48,83944543;2,396182886
2290;08910f40-ddb5-40a7-884c-a2c9c7070054;M8;Michel Bizot;48,83711701;2,402333166
